#ZVView-data-copy:  16-Jul-2018 14:45:38
#=======================================
#
#name:   ENDF/B-VII.1: TH-232(N,G)TH-233
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  74445
#data...
#            X            Y
#          MeV        barns
    8.43465e-6     0.382869
    8.43831e-6     0.354311
    8.44197e-6     0.328021
    8.44563e-6     0.303981
    8.44929e-6     0.282136
    8.45265e-6     0.263972
     8.4557e-6     0.248933
    8.45875e-6     0.235227
     8.4618e-6     0.222777
    8.46485e-6     0.211505
     8.4679e-6     0.201328
    8.47095e-6     0.192164
      8.474e-6     0.183931
    8.47705e-6      0.17655
     8.4801e-6     0.169944
    8.48467e-6     0.161328
    8.48925e-6     0.154061
    8.49382e-6     0.147938
     8.4984e-6     0.142777
    8.50236e-6     0.138958
    8.50724e-6     0.134955
    8.51212e-6     0.131588
    8.51944e-6     0.127481
    8.52676e-6     0.124235
    8.53409e-6     0.121625
    8.54385e-6     0.118859
    8.55849e-6     0.115741
    8.57313e-6     0.113423
    8.59314e-6     0.111057
    8.60826e-6     0.109676
    8.63852e-6     0.107589
     8.6839e-6     0.105474
    8.72971e-6     0.104024
    8.79107e-6     0.102659
    8.88398e-6      0.10124
    9.00932e-6    0.0999214
    9.26533e-6      0.09811
    9.59535e-6    0.0965251
    1.00072e-5    0.0952007
    1.03642e-5    0.0945542
    1.07386e-5    0.0942008
    1.12786e-5    0.0944346
    1.16803e-5    0.0951985
    1.20969e-5    0.0966044
    1.23535e-5    0.0979149
    1.25718e-5    0.0995929
    1.26599e-5     0.100621
    1.27374e-5     0.101932
    1.27878e-5     0.103197
    1.28213e-5     0.104387
    1.28524e-5     0.105937
    1.28739e-5     0.107445
    1.28954e-5     0.109614
    1.29098e-5     0.111712
    1.29205e-5     0.113862
    1.29313e-5     0.116771
    1.29384e-5     0.119304
    1.29456e-5     0.122477
    1.29528e-5     0.126471
    1.29589e-5     0.130681
     1.2965e-5     0.135806
    1.29696e-5     0.140361
    1.29741e-5      0.14562
    1.29787e-5     0.151675
    1.29833e-5     0.158622
    1.29879e-5     0.166561
    1.29924e-5     0.175593
     1.2997e-5     0.185819
    1.30016e-5     0.197334
    1.30055e-5       0.2082
    1.30094e-5     0.220108
    1.30132e-5     0.233095
    1.30171e-5     0.247191
    1.30223e-5     0.267736
    1.30275e-5     0.290277
    1.30327e-5     0.314758
    1.30379e-5     0.341063
    1.30431e-5     0.369012
    1.30504e-5     0.410765
    1.30728e-5     0.544746
    1.30801e-5     0.585552
    1.30875e-5     0.622257
    1.30923e-5     0.643671
    1.30972e-5     0.662137
    1.31021e-5     0.677278
     1.3107e-5     0.688775
    1.31114e-5     0.695806
     1.3117e-5     0.700019
    1.31184e-5     0.700222
    1.31238e-5      0.69779
    1.31275e-5     0.693299
    1.31324e-5     0.683845
    1.31372e-5     0.670627
    1.31421e-5     0.653926
     1.3147e-5     0.634094
    1.31543e-5     0.599371
    1.31616e-5     0.560036
    1.31702e-5     0.510464
    1.31874e-5     0.408145
    1.31943e-5     0.368921
    1.31992e-5     0.342855
    1.32041e-5     0.318233
     1.3209e-5     0.295204
    1.32139e-5     0.273867
    1.32187e-5     0.254274
    1.32236e-5     0.236435
    1.32285e-5     0.220324
    1.32324e-5     0.208686
    1.32367e-5     0.196886
    1.32411e-5     0.186297
    1.32454e-5     0.176843
    1.32498e-5     0.168443
    1.32541e-5     0.161013
    1.32585e-5     0.154467
    1.32628e-5     0.148723
    1.32657e-5     0.145297
    1.32715e-5     0.139313
    1.32773e-5      0.13434
    1.32824e-5     0.130642
    1.32876e-5     0.127518
    1.32945e-5     0.124094
    1.33013e-5     0.121357
    1.33116e-5     0.118229
    1.33185e-5     0.116634
    1.33322e-5     0.114256
    1.33459e-5     0.112606
    1.33597e-5     0.111413
    1.33871e-5     0.109829
    1.34176e-5      0.10877
    1.34481e-5     0.108124
    1.35091e-5     0.107504
    1.35579e-5      0.10737
    1.37014e-5     0.107829
    1.39432e-5     0.109783
    1.42396e-5     0.113062
    1.45417e-5     0.117105
    1.48508e-5     0.121959
    1.51659e-5     0.127782
    1.53798e-5     0.132224
    1.55968e-5     0.137209
    1.58168e-5     0.142846
    1.61531e-5     0.152708
     1.6381e-5     0.160439
    1.66121e-5     0.169288
    1.68465e-5     0.179465
    1.70243e-5     0.188123
    1.72038e-5     0.197821
    1.73859e-5     0.208765
    1.75696e-5      0.22112
    1.77551e-5     0.235147
    1.79423e-5     0.251171
    1.80689e-5      0.26324
    1.81954e-5     0.276455
    1.83238e-5     0.291165
    1.84522e-5      0.30728
    1.85823e-5     0.325472
    1.87125e-5     0.345749
    1.88445e-5     0.368758
    1.89435e-5     0.387881
    1.90434e-5     0.409045
    1.91438e-5     0.432454
    1.92442e-5     0.458324
     1.9346e-5     0.487459
    1.94478e-5     0.519982
    1.95501e-5     0.556638
    1.96534e-5     0.598365
    1.97222e-5     0.629295
     1.9791e-5     0.663113
    1.98608e-5     0.700737
    1.99306e-5     0.742175
    2.00004e-5     0.787978
    2.00702e-5       0.8388
     2.0141e-5     0.896321
    2.01941e-5     0.944056
    2.02472e-5     0.996301
    2.03003e-5      1.05367
    2.03534e-5       1.1169
    2.04072e-5      1.18786
    2.04611e-5      1.26673
    2.05149e-5      1.35482
    2.05688e-5      1.45384
    2.06047e-5       1.5269
    2.06406e-5      1.60639
    2.06751e-5      1.68982
    2.07097e-5       1.7808
    2.07443e-5      1.88034
    2.07789e-5      1.98958
    2.08135e-5       2.1099
    2.08481e-5      2.24292
    2.08827e-5      2.39058
    2.09172e-5      2.55522
    2.09416e-5      2.68295
     2.0966e-5      2.82167
    2.09904e-5      2.97271
    2.10147e-5      3.13764
    2.10391e-5      3.31826
    2.10635e-5      3.51674
    2.10879e-5       3.7356
    2.11122e-5      3.97789
    2.11383e-5      4.26766
    2.11645e-5      4.59399
